2026-02-03 17:58:18 - crypto_news_analyzer.main - INFO - 开始初始化加密货币新闻分析系统
2026-02-03 17:58:18 - crypto_news_analyzer.config.manager - INFO - 配置文件验证通过
2026-02-03 17:58:18 - crypto_news_analyzer.config.manager - INFO - 配置文件加载成功
2026-02-03 17:58:18 - crypto_news_analyzer.main - INFO - 配置管理器初始化完成
2026-02-03 17:58:18 - crypto_news_analyzer.main - INFO - 错误处理框架初始化完成
2026-02-03 17:58:18 - crypto_news_analyzer.main - INFO - 系统初始化完成
2026-02-03 18:10:15 - crypto_news_analyzer.storage.data_manager - INFO - 数据库表结构初始化完成
2026-02-03 18:10:15 - crypto_news_analyzer.storage.data_manager - INFO - 数据管理器初始化完成，数据库路径: /var/folders/j_/gtttv8yn4rv0_fftxy_fsjm00000gn/T/tmpr4qllbnn.db
2026-02-03 18:10:15 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 5/5 个内容项
2026-02-03 18:10:15 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 5 个内容项
2026-02-03 18:10:15 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/2 个内容项
2026-02-03 18:10:15 - crypto_news_analyzer.storage.data_manager - INFO - 去重完成，删除了 0 个重复项
2026-02-03 18:10:15 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 5 个内容项
2026-02-03 18:10:15 - crypto_news_analyzer.storage.data_manager - INFO - 数据管理器已关闭
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 数据库表结构初始化完成
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 数据管理器初始化完成，数据库路径: /var/folders/j_/gtttv8yn4rv0_fftxy_fsjm00000gn/T/tmpkarppk_7/test_crypto_news.db
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 1/2 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 1 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 1 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/7 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/11 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/6 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/9 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/2 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 12/12 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 2 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 13 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 13/13 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 14 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 26 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 10/10 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 23 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 36 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 9/9 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 14 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 45 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 8/8 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 33 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 53 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 10/10 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 35 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 63 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 11/11 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 42 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 74 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 11/11 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 49 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 85 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 6/6 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 54 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 91 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 10/11 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 22 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 101 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/11 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/11 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/11 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/11 个内容项
2026-02-03 18:23:42 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/11 个内容项
2026-02-03 18:23:43 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 0/11 个内容项
2026-02-03 18:23:43 - crypto_news_analyzer.storage.data_manager - INFO - 成功添加 16/16 个内容项
2026-02-03 18:23:43 - crypto_news_analyzer.storage.data_manager - INFO - 获取到 60 个内容项
